ident,latitude_deg,longitude_deg,term
ENOL,63.6989,9.604,
BITM,63.69,-19.5631,
CYMA,63.6164,-135.868,
5BK,63.5351,-145.861,
BIVM,63.4243,-20.2789,
BIVI,63.4217,-18.8883,
ESNO,63.4083,18.99,
TSG,63.3744,-143.336,
AK40,63.2292,-154.76,
CYWY,63.2094,-123.437,
USRO,63.1833,75.27,
CEM3,63.1317,-117.246,
4AK5,62.9899,-144.48,
UHMS,62.9208,152.4228,
PATL,62.8944,-155.977,
AK61,62.6996,-148.907,
K40,62.6562,-160.205,
CFS7,62.6194,-131.279,
3AK3,62.5638,-150.221,
UERR,62.5347,114.039,
ESNN,62.5281,17.4439,
9AK0,62.5121,-143.235,
FLT,62.4526,-157.989,
CYXQ,62.4103,-140.867,
1AK2,62.4009,-146.013,
8KA,62.2933,-153.362,
13S,62.2829,-146.519,
8AK1,62.2803,-145.363,
CZFA,62.2075,-133.376,
CFC9,62.2033,-133.393,
USRK,62.1904,74.5338,
PAHC,62.1883,-159.775,
AK19,62.1739,-150.064,
58A,62.1134,-146.041,
PAMO,62.0954,-163.682,
UEEE,62.0933,129.771,
6AK,62.0841,-152.718,
4Z5,62.0072,-141.181,
ULPB,61.8852,34.1547,
PASP,61.812,-147.507,
AK08,61.7899,-150.106,
3AK7,61.7656,-150.339,
CYFS,61.7602,-121.237,
AK90,61.7447,-150.115,
2X2,61.744,-150.059,
AK67,61.7386,-150.073,
78AK,61.7331,-150.526,
AK69,61.7293,-150.098,
MFN,61.7213,-150.047,
AK68,61.7203,-150.054,
UUYT,61.69,53.71,
78Z,61.685,-149.98,
1AK8,61.6769,-151.387,
97AK,61.664,-149.254,
3AK8,61.6625,-149.392,
5AK5,61.6571,-149.462,
AK93,61.6552,-149.273,
13AK,61.6547,-149.9,
UUYY,61.647,50.8451,
7AK9,61.6468,-149.049,
AK27,61.6426,-149.624,
6AK9,61.6335,-149.682,
5AK8,61.6314,-149.432,
9AK1,61.6309,-149.232,
69AK,61.6289,-149.4236,
AK46,61.6288,-149.043,
2D3,61.6277,-149.239,
3AK2,61.6275,-149.287,
AK83,61.6273,-149.609,
9AK8,61.6247,-149.682,
9AK6,61.6241,-149.648,
7AK8,61.6213,-149.615,
6AK8,61.6181,-149.669,
AK25,61.6175,-149.615,
AK29,61.6126,-149.852,
54AK,61.6071,-149.574,
99Z,61.6065,-149.278,
AK88,61.6047,-149.04,
80AK,61.602,-149.784,
14AK,61.6015,-149.248,
43AK,61.6008,-149.579,
23AK,61.5941,-149.311,
9AK7,61.5898,-149.817,
AK63,61.5886,-149.143,
